,biology,posterior_mean,q_0.01,q_0.5,q_0.99
197,Arabidopsis thaliana|2.3.1.4|D-glucosamine 6-phosphate,-0.6344482557594688,-2.1429906,-0.6683669999999999,1.0876340999999992
198,Arabidopsis thaliana|2.3.1.4|acetyl-CoA,-3.7294283559375003,-5.8808717,-3.694885,-1.8513748
199,Arabidopsis thaliana|2.3.1.47|L-alanine,-2.4992827301625,-5.377771,-2.4745150000000002,0.017125800999999708
200,Arabidopsis thaliana|2.3.1.47|pimeloyl-CoA,-2.4724999913125,-4.5468361,-2.434055,-0.6899617000000008
201,Arabidopsis thaliana|2.3.1.87|serotonin,-1.4419135892696875,-3.1274312999999996,-1.43932,0.3085053699999936
202,Arabidopsis thaliana|2.3.1.92|1-O-sinapoyl-beta-D-glucose,-2.212138219853125,-5.1758994,-2.1965399999999997,0.7324522099999987
203,Arabidopsis thaliana|2.3.1.92|L-malate,-0.6582831660375001,-4.4870011,-0.5129425000000001,1.983031799999992
204,Arabidopsis thaliana|2.3.2.2|L-Glu-4-nitroanilide,-0.405576498625,-2.3170836,-0.39149100000000003,1.4369759999999996
205,Arabidopsis thaliana|2.3.2.2|glutathione,-1.8398347888125,-4.1319784,-1.78384,0.1838762299999994
206,Arabidopsis thaliana|2.3.3.13|2-oxo-3-methylbutanoate,-2.6038450259156254,-5.1193134,-2.53734,-0.5897008300000057
207,Arabidopsis thaliana|2.3.3.13|acetyl-CoA,-3.420844934375,-4.7491493,-3.415045,-2.1244424
208,Arabidopsis thaliana|2.3.3.16|acetyl-CoA,-3.00066165625,-4.2950555,-2.992425,-1.6557731000000009
209,Arabidopsis thaliana|2.3.3.16|oxaloacetate,-4.7128012281250005,-6.4264428,-4.7300699999999996,-2.804175400000005
